诊断名,诊断码
肺阿米巴病[阿米巴肺脓肿],A06.500x002+J99.8*
阿米巴肝肺脓肿,A06.501+J99.8*
阿米巴肝肾囊肿伴肺炎,A06.502+J17.3*
阿米巴脑脓肿,A06.600+G07*
皮肤阿米巴病,A06.700
阿米巴感染，其他部位的,A06.800
阿米巴膀胱炎,A06.800x001
阿米巴阑尾炎,A06.800x002
阿米巴精囊炎,A06.800x003
阿米巴龟头炎,A06.800x004+N51.2*
眼阿米巴病,A06.801
阿米巴病,A06.900
小袋纤毛虫病,A07.000
贾第虫病[兰伯鞭毛虫病],A07.100
隐孢子虫病,A07.200
等孢球虫病,A07.300
肠道球虫病,A07.300x002
原虫性肠道疾病，其他特指的,A07.800
肉孢子虫病,A07.800x002
肠道滴虫病,A07.801
原虫性肠道疾病,A07.900
肠道原虫感染,A07.900x001
轮状病毒性肠炎,A08.000
诺如病毒引起的急性胃肠病,A08.100
诺如病毒性肠炎,A08.100x001
诺如病毒性急性胃肠病,A08.101
腺病毒性肠炎,A08.200
病毒性肠炎，其他的,A08.300
EB病毒性肠炎,A08.301
病毒性肠道感染,A08.400
病毒性小肠炎,A08.400x003
病毒性肠炎,A08.401
病毒性胃肠炎,A08.402
肠道感染，其他特指的,A08.500
传染性病因的胃肠炎和结肠炎，其他和未特指的,A09.000
肠道感染,A09.000x001
流行性肠炎,A09.000x003
出血性结肠炎,A09.000x006
感染性胃肠炎,A09.001
感染性结肠炎,A09.002
痢疾,A09.003
感染性腹泻,A09.004
脓毒性肠炎,A09.005
急性出血性肠炎,A09.006
急性感染性肠炎,A09.007
胃肠炎和结肠炎,A09.900
急性肠炎,A09.900x003
急性小肠炎,A09.900x004
新生儿腹泻,A09.900x005
肠炎,A09.900x006
腹泻,A09.900x007
胃肠炎,A09.901
结肠炎,A09.902
婴儿腹泻,A09.903
出血性肠炎,A09.904
肺结核，经显微镜下痰检查证实，伴有或不伴有痰培养,A15.000
肺结核（显微镜检证实）,A15.000x001
肺结核（仅痰涂片证实）,A15.000x002
肺结核（痰涂片及培养均证实）,A15.000x003
"继发性肺结核（初治,单耐药）涂阳培阳",A15.000x010
"继发性肺结核（初治,多耐药）涂阳培阳",A15.000x012
"继发性肺结核（初治,广泛耐药）涂阳培阳",A15.000x014
"继发性肺结核（初治,耐多药）涂阳培阳",A15.000x016
"继发性肺结核（初治,药物敏感）涂阳培阳",A15.000x018
"继发性肺结核（复治,单耐药）涂阳培阳",A15.000x020
"继发性肺结核（复治,多耐药）涂阳培阳",A15.000x022
"继发性肺结核（复治,广泛耐药）涂阳培阳",A15.000x024
"继发性肺结核（复治,耐多药）涂阳培阳",A15.000x026
"继发性肺结核（复治,药物敏感）涂阳培阳",A15.000x028
肺结核瘤，痰镜检（+）,A15.001
肺干酪性结核，痰镜检（+）,A15.002
结核性肺纤维变性，痰镜检（+）,A15.003
结核性肺炎，痰镜检（+）,A15.004
结核性气胸，痰镜检（+）,A15.005
结核性支气管扩张，痰镜检（+）,A15.006
空洞型肺结核，痰镜检（+）,A15.007
肺结核，仅经痰培养所证实,A15.100
肺结核（仅痰培养证实）,A15.100x001
"继发性肺结核（初治,单耐药）涂阴培阳",A15.100x002
"继发性肺结核（初治,多耐药）涂阴培阳",A15.100x003
"继发性肺结核（初治,广泛耐药）涂阴培阳",A15.100x004
"继发性肺结核（初治,耐多药）涂阴培阳",A15.100x005
"继发性肺结核（初治,药物敏感）涂阴培阳",A15.100x006
"继发性肺结核（复治,单耐药）涂阴培阳",A15.100x007
"继发性肺结核（复治,多耐药）涂阴培阳",A15.100x008
"继发性肺结核（复治,广泛耐药）涂阴培阳",A15.100x009
"继发性肺结核（复治,耐多药）涂阴培阳",A15.100x010
"继发性肺结核（复治,药物敏感）涂阴培阳",A15.100x011
肺结核瘤，痰培养（+）,A15.101
肺干酪性结核，痰培养（+）,A15.102
结核性肺纤维变性，痰培养（+）,A15.103
结核性肺炎，痰培养（+）,A15.104
结核性气胸，痰培养（+）,A15.105
结核性支气管扩张，痰培养（+）,A15.106
空洞型肺结核，痰培养（+）,A15.107
肺结核，经组织学所证实,A15.200
肺结核（组织学证实）,A15.200x001
结核性损毁肺（组织学+）,A15.200x002
肺结核瘤，病理（+）,A15.201
肺干酪性结核，病理（+）,A15.202
结核性肺纤维变性，病理（+）,A15.203
结核性肺炎，病理（+）,A15.204
结核性气胸，病理（+）,A15.205
结核性支气管扩张，病理（+）,A15.206
空洞型肺结核，病理（+）,A15.207
肺结核，经证实的,A15.300
肺结核（分子诊断证实）,A15.300x001
肺结核瘤经证实（+）,A15.301
肺干酪性结核经证实（+）,A15.302
结核性肺纤维变性经证实（+）,A15.303
结核性肺炎经证实（+）,A15.304
结核性气胸经证实（+）,A15.305
结核性支气管扩张经证实（+）,A15.306
空洞型肺结核经证实（+）,A15.307
胸腔内淋巴结结核，经细菌学和组织学所证实,A15.400
肺门淋巴结结核（细菌学和组织学证实）,A15.400x001
肺门淋巴结结核，病理（+）,A15.401
气管支气管淋巴结结核，细菌学（+）,A15.402
气管支气管淋巴结结核，病理（+）,A15.403
胸内淋巴结结核，细菌学（+）,A15.404
胸内淋巴结结核，病理（+）,A15.405
纵隔淋巴结结核，细菌学（+）,A15.406
纵隔淋巴结结核，病理（+）,A15.407
支气管淋巴结结核，细菌学（+）,A15.408
支气管淋巴结结核，病理（+）,A15.409
喉、气管和支气管结核，经细菌学和组织学所证实,A15.500
喉结核（细菌学和组织学证实）,A15.500x001
气管结核（细菌学和组织学证实）,A15.500x002
支气管结核（细菌学和组织学证实）,A15.500x003
声带结核（细菌学和组织学证实）,A15.500x004
"支气管结核（初治,单耐药）涂阳培阳",A15.500x010
"支气管结核（初治,单耐药）涂阴培阳",A15.500x011
"支气管结核（初治,多耐药）涂阳培阳",A15.500x012
"支气管结核（初治,多耐药）涂阴培阳",A15.500x013
"支气管结核（初治,广泛耐药）涂阳培阳",A15.500x014
"支气管结核（初治,广泛耐药）涂阴培阳",A15.500x015
"支气管结核（初治,耐多药）涂阳培阳",A15.500x016
"支气管结核（初治,耐多药）涂阴培阳",A15.500x017
"支气管结核（初治,药物敏感）涂阳培阳",A15.500x018
"支气管结核（初治,药物敏感）涂阴培阳",A15.500x019
"支气管结核（复治,单耐药）涂阳培阳",A15.500x020
"支气管结核（复治,单耐药）涂阴培阳",A15.500x021
"支气管结核（复治,多耐药）涂阳培阳",A15.500x022
"支气管结核（复治,多耐药）涂阴培阳",A15.500x023
"支气管结核（复治,广泛耐药）涂阳培阳",A15.500x024
"支气管结核（复治,广泛耐药）涂阴培阳",A15.500x025
"支气管结核（复治,耐多药）涂阳培阳",A15.500x026
"支气管结核（复治,耐多药）涂阴培阳",A15.500x027
"支气管结核（复治,药物敏感）涂阳培阳",A15.500x028
"支气管结核（复治,药物敏感）涂阴培阳",A15.500x029
喉结核，病理（+）,A15.501
会厌结核，细菌学（+）,A15.502
会厌结核，病理（+）,A15.503
声带结核，细菌学（+）,A15.504
声带结核，病理（+）,A15.505
气管结核，细菌学（+）,A15.506
气管结核，病理（+）,A15.507
支气管结核，细菌学（+）,A15.508
支气管结核，病理（+）,A15.509
结核性胸膜炎，经细菌学和组织学所证实,A15.600
结核性胸膜炎，病理（+）,A15.601
结核性脓胸，细菌学（+）,A15.602
结核性脓胸，病理（+）,A15.603
结核性胸腔积液，细菌学（+）,A15.604
结核性胸腔积液，病理（+）,A15.605
结核性渗出性胸膜炎，细菌学（+）,A15.606
结核性渗出性胸膜炎，病理（+）,A15.607
胸膜结核瘤，细菌学（+）,A15.608
胸膜结核瘤，病理（+）,A15.609
原发性呼吸道结核，经细菌学和组织学所证实,A15.700
原发性呼吸道结核，病理（+）,A15.701
肺原发性结核性复征，细菌学（+）,A15.702
肺原发性结核性复征，病理（+）,A15.703
呼吸道结核，经细菌学和组织学所证实，其他的,A15.800
鼻咽结核性肉芽肿（组织学证实）,A15.800x001
结核性鼻窦炎，细菌学（+）,A15.801
结核性鼻窦炎，病理（+）,A15.802
鼻中隔结核，细菌学（+）,A15.803
鼻中隔结核，病理（+）,A15.804
鼻咽结核，细菌学（+）,A15.805
鼻咽结核，病理（+）,A15.806
鼻结核，细菌学（+）,A15.807
鼻结核，病理（+）,A15.808
扁桃体结核，细菌学（+）,A15.809
扁桃体结核，病理（+）,A15.810
咽部结核，细菌学（+）,A15.811
咽部结核，病理（+）,A15.812
纵隔结核，细菌学（+）,A15.813
纵隔结核，病理（+）,A15.814
呼吸道结核，经细菌学和组织学所证实的,A15.900
呼吸道结核，病理（+）,A15.901
肺结核，细菌学和组织学检查为阴性,A16.000
肺结核（细菌学和组织学检查为阴性）,A16.000x001
支气管结核（细菌学和组织学证实均阴性）,A16.000x002
肺结核瘤，痰镜检（-）,A16.001
结核性肺炎，痰镜检（-）,A16.002
结核性肺纤维变性，痰镜检（-）,A16.003
结核性气胸，痰镜检（-）,A16.004
结核性支气管扩张，痰镜检（-）,A16.005
肺干酪性结核，痰镜检（-）,A16.006
空洞型肺结核，痰镜检（-）,A16.007
浸润型肺结核，痰镜检（-）,A16.008
增殖型肺结核，痰镜检（-）,A16.009
肺结核，痰培养（-）,A16.010
肺结核瘤，痰培养（-）,A16.011
结核性肺炎，痰培养（-）,A16.012
结核性肺纤维变性，痰培养（-）,A16.013
结核性气胸，痰培养（-）,A16.014
结核性支气管扩张，痰培养（-）,A16.015
肺干酪性结核，痰培养（-）,A16.016
空洞型肺结核，痰培养（-）,A16.017
浸润型肺结核，痰培养（-）,A16.018
增殖型肺结核，痰培养（-）,A16.019
肺结核，病理（-）,A16.020
肺结核瘤，病理（-）,A16.021
结核性肺炎，病理（-）,A16.022
结核性肺纤维变性，病理（-）,A16.023
结核性气胸，病理（-）,A16.024
结核性支气管扩张，病理（-）,A16.025
肺干酪性结核，病理（-）,A16.026
空洞型肺结核，病理（-）,A16.027
浸润型肺结核，病理（-）,A16.028
增殖型肺结核，病理（-）,A16.029
肺结核瘤，细胞学（组织学）（-）,A16.030
结核性肺炎，细胞学（组织学）（-）,A16.031
结核性肺纤维变性，细胞学（组织学）（-）,A16.032
结核性气胸，细胞学（组织学）（-）,A16.033
结核性支气管扩张，细胞学（组织学）（-）,A16.034
肺干酪性结核，细胞学（组织学）（-）,A16.035
空洞型肺结核，细胞学（组织学）（-）,A16.036
浸润型肺结核，细胞学（组织学）（-）,A16.037
增殖型肺结核，细胞学（组织学）（-）,A16.038
肺结核，未做细菌学和组织学检查,A16.100
肺结核（未行细菌学和组织学检查）,A16.100x001
肺结核瘤，未做细菌学和组织学检查,A16.101
结核性肺炎，未做细菌学和组织学检查,A16.102
结核性肺纤维变性，未做细菌学和组织学检查,A16.103
结核性气胸，未做细菌学和组织学检查,A16.104
结核性支气管扩张，未做细菌学和组织学检查,A16.105
肺干酪性结核，未做细菌学和组织学检查,A16.106
空洞型肺结核，未做细菌学和组织学检查,A16.107
浸润型肺结核，未做细菌学和组织学检查,A16.108
增殖型肺结核，未做细菌学和组织学检查,A16.109
肺结核，未提及细菌学或组织学的证实,A16.200
肺结核,A16.200x002
结节型肺结核,A16.200x007
结核性胸膜瘘,A16.200x012
结核性损毁肺,A16.200x013
结核性大咯血,A16.200x014
继发性肺结核,A16.200x015
肺结核瘤,A16.201
结核性肺炎,A16.202
结核性肺纤维变性,A16.203
结核性气胸,A16.204
结核性支气管扩张,A16.205
肺干酪性结核,A16.206
空洞型肺结核,A16.207
结核性肺不张,A16.210
胸腔内淋巴结结核，未提及细菌学或组织学的证实,A16.300
结核性支气管淋巴瘘,A16.300x002
胸壁淋巴结结核,A16.300x003
结核性乳糜胸,A16.300x007
肺门淋巴结结核,A16.301
胸内淋巴结结核,A16.302
气管支气管淋巴结结核,A16.303
支气管淋巴结结核,A16.304
纵隔淋巴结结核,A16.305
喉、气管和支气管结核，未提及细菌学或组织学的证实,A16.400
孤立性气管支气管结核,A16.400x005
结核性气管狭窄,A16.400x010
结核性支气管狭窄,A16.400x011
会厌结核,A16.401
气管结核,A16.402
声带结核,A16.403
结核性支气管胸膜瘘,A16.405
喉结核,A16.406
结核性胸膜炎，未提及细菌学或组织学的证实,A16.500
结核性干性胸膜炎,A16.500x001
结核性胸膜炎,A16.500x004
结核性胸膜炎（初治）,A16.500x008
结核性胸膜炎（复治）,A16.500x009
结核性包裹性脓胸,A16.500x010
结核性脓胸,A16.501
结核性渗出性胸膜炎,A16.503
胸膜结核瘤,A16.504
结核性脓气胸,A16.505
原发性呼吸道结核，未提及细菌学或组织学的证实,A16.700
肺结核原发综合征,A16.700x001
原发性肺结核,A16.700x002
呼吸道结核，未提及细菌学或组织学的证实，其他的,A16.800
干酪性鼻窦炎,A16.800x002
干酪性鼻炎[结核性鼻炎],A16.800x003
结核性鼻窦炎,A16.801
鼻中隔结核,A16.802
鼻咽结核,A16.803
鼻结核,A16.804
扁桃体结核,A16.805
咽部结核,A16.806
纵隔结核,A16.807
呼吸道结核,A16.900
结核病,A16.900x001
结核感染,A16.900x002
呼吸道结核病,A16.900x003
结核性胸壁窦,A16.900x023
结核性脑膜炎,A17.000+G01*
结核性脊膜炎,A17.000x001+G05.0*
蛛网膜结核病,A17.000x005+G01*
结核性脑膜粘连,A17.000x006+G01*
结核性脑脊髓膜炎,A17.001+G01*
脑膜结核瘤,A17.100+G07*
脑脊膜结核瘤,A17.100x001+G07*
神经系统的其他结核,A17.800
结核性脊髓脊膜炎,A17.800x007+G05.0*
脑结核瘤,A17.801+G07*
结核性脑肉芽肿,A17.802+G07*
结核性脑膜脑炎,A17.803+G05.0*
结核性脑炎,A17.804+G05.0*
结核性脑脓肿,A17.805+G07*
脊髓结核,A17.806+G07*
结核性脑积水,A17.807+G94.0*
神经系统结核,A17.900+G99.8*
中枢神经系统结核,A17.900x001+G99.8*
骨和关节的结核,A18.000
腭骨结核,A18.000x002+M90.0*
颌骨结核,A18.000x003+M90.0*
乳突结核,A18.000x004+H75.0*
颧骨结核,A18.000x006+M90.0*
结核性风湿病[篷塞病],A18.000x015+M01.1*
脊椎结核并椎旁脓肿,A18.000x018+M49.0*
关节寒性脓肿[关节结核脓肿],A18.000x019+M01.1*
肢体骨结核,A18.000x034+M90.0*
骨结核病,A18.000x035+M90.0*
第三楔骨结核,A18.000x042+M90.0*
结核性滑膜炎,A18.000x046+M68.0*
结核性脊柱前凸,A18.000x047+M49.0*
结核性脊柱侧弯,A18.000x048+M49.0*
脊柱骨脓肿[结核性脊柱骨脓肿],A18.000x049+M49.0*
胸锁关节结核,A18.000x053+M01.1*
骶骨结核,A18.000x057+M49.0*
腱鞘结核,A18.000x058+M68.0*
胸骨结核,A18.000x060+M90.0*
结核性腱鞘炎,A18.000x062+M68.0*
结核性骨炎,A18.000x063+M90.0*
结核性骨髓炎,A18.000x064+M90.0*
结核性骨坏死,A18.000x065+M90.0*
颈椎结核性截瘫,A18.000x066+M49.0*
骨髓结核,A18.000x067+M90.0*
骨结核,A18.001+M90.0*
关节结核,A18.002+M01.1*
鼻骨结核,A18.003+M90.0*
下颌结核,A18.004+M90.0*
颈椎结核,A18.005+M49.0*
胸椎结核,A18.006+M49.0*
腰椎结核,A18.007+M49.0*
腰椎结核性窦道,A18.008+M90.0*
脊柱结核,A18.009+M49.0*
脊柱结核性脓肿,A18.010+M49.0*
结核性脊柱后凸,A18.011+M49.0*
脊柱结核性截瘫,A18.012+M49.0*
结核性脊柱裂,A18.013+M49.0*
肋骨结核,A18.014+M90.0*
耻骨结核,A18.015+M90.0*
肱骨结核,A18.016+M90.0*
桡骨结核,A18.017+M90.0*
尺骨结核,A18.018+M90.0*
掌骨结核,A18.019+M90.0*
指骨结核,A18.020+M90.0*
股骨结核,A18.021+M90.0*
胫骨结核,A18.022+M90.0*
腓骨结核,A18.023+M90.0*
跟骨结核,A18.024+M90.0*
楔骨结核,A18.025+M90.0*
趾骨结核,A18.026+M90.0*
肩关节结核,A18.027+M01.1*
肘关节结核,A18.028+M01.1*
腕关节结核,A18.029+M01.1*
指关节结核,A18.030+M01.1*
髋关节结核,A18.031+M01.1*
骶髂关节结核,A18.032+M49.0*
髋关节结核性滑膜炎,A18.033+M01.1*
膝关节结核,A18.034+M01.1*
膝关节结核性滑膜炎,A18.035+M01.1*
踝关节结核,A18.036+M01.1*
跖趾关节结核,A18.037+M01.1*
趾关节结核,A18.038+M01.1*
关节结核性风湿病,A18.039+M01.1*
关节结核性窦道,A18.040+M01.1*
滑膜结核,A18.041+M68.0*
肌腱结核,A18.042+M68.0*
关节结核性脓肿,A18.043+M01.1*
结核性关节炎,A18.044+M01.1*
泌尿生殖系统的结核,A18.100
精囊结核,A18.100x018+N51.8*
外阴结核,A18.100x019+N77.1*
阴囊结核,A18.100x020+N51.8*
结核性会阴瘘,A18.100x021+N37.8*
结核性尿道瘘,A18.100x022+N37.8*
结核性直肠阴道瘘,A18.100x024+N74.1*
结核性肾盂炎,A18.100x025+N29.1*
结核性输卵管炎,A18.100x026+N74.1*
结核性外阴溃疡,A18.100x030+N77.0*
男性盆腔结核,A18.100x031
结核性盆腔炎,A18.100x032
泌尿系统结核,A18.101
生殖系统结核,A18.102
肾结核,A18.103+N29.1*
结核性肾脓肿,A18.104+N29.1*
结核性肾盂积水,A18.105+N29.1*
输尿管结核,A18.106+N29.1*
结核性输尿管狭窄,A18.107+N29.1*
膀胱结核,A18.108+N33.0*
前列腺结核,A18.109+N51.0*
输精管结核,A18.110+N51.8*
子宫内膜结核,A18.111+N74.1*
子宫颈结核,A18.112+N74.0*
输卵管结核,A18.113+N74.1*
卵巢结核,A18.114+N74.1*
女性盆腔结核,A18.115+N74.1*
结核性阴囊瘘,A18.116+N51.8*
睾丸结核,A18.117+N51.1*
附睾结核,A18.118+N51.1*
阴茎结核,A18.119+N51.8*
结核性周围淋巴结病,A18.200
颌下淋巴结结核,A18.200x002
颏下淋巴结结核,A18.200x005
淋巴结结核,A18.200x006
周围淋巴结结核,A18.200x010
头颈部结核性淋巴结炎,A18.201
颊淋巴结结核,A18.202
腮腺淋巴结结核,A18.203
颈淋巴结结核,A18.205
锁骨上淋巴结结核,A18.206
腋下淋巴结结核,A18.207
食管旁淋巴结结核,A18.208
闭孔淋巴结结核,A18.209
腹股沟淋巴结结核,A18.210
结核性淋巴管炎,A18.211
全身多发淋巴结结核,A18.212
肠、腹膜和肠系膜淋巴结的结核,A18.300
髂窝结核,A18.300x006+K67.3*
腹腔结核,A18.300x009+K93.0*
结核性胃结肠瘘,A18.300x013+K93.0*
结核性直肠瘘,A18.300x014+K93.0*
膈下结核性脓肿,A18.300x015+K93.0*
腹膜后结核,A18.300x016
肝门淋巴结结核,A18.301
阑尾结核,A18.302+K93.0*
肠结核,A18.303+K93.0*
结核性肠炎,A18.304+K93.0*
结肠结核瘤,A18.305+K93.0*
结核性肛瘘,A18.306+K93.0*
肛周结核,A18.307+K93.0*
腹腔淋巴结结核,A18.308
结核性腹腔积液,A18.309
腹膜后淋巴结结核,A18.310
腹膜结核,A18.311+K93.0*
腹部结核性脓肿,A18.312+K93.0*
腹部结核性窦道,A18.313+K93.0*
结核性腹膜炎,A18.314+K67.3*
肠系膜结核,A18.315+K93.0*
肠系膜淋巴结结核,A18.316+K93.0*
髂窝结核性脓肿,A18.317
髂窝淋巴结结核,A18.318
皮肤和皮下组织的结核,A18.400
播散性粟粒性狼疮,A18.400x001
酒渣样结核疹,A18.400x006
臀部结核,A18.400x010
皮肤结核溃疡,A18.400x013
疣状皮肤结核,A18.400x014
外耳道结核,A18.400x018
中耳结核,A18.400x019
腰部结核性脓肿,A18.400x020
足结核,A18.400x021
肩部结核,A18.400x022
皮肤结核,A18.401
皮下组织结核,A18.402
皮肤结核性窦道,A18.403
瘰疬性皮肤结核,A18.404
结核性皮肤脓肿,A18.405
腹壁结核,A18.406
皮下组织结核性窦道,A18.407
结核性结节性红斑,A18.408
结核性狼疮,A18.409
寻常性狼疮,A18.410
巴赞病,A18.411
胸壁结核,A18.412
眼结核,A18.500
眼眶结核,A18.500x002
结核性视网膜脉络膜炎,A18.500x005+H32.0*
结膜结核,A18.500x008+H13.1*
脉络膜结核瘤,A18.500x010+H32.0*
结核性虹膜睫状体炎,A18.500x013+H22.0*
视网膜结核,A18.501+H32.0*
脉络膜结核,A18.502+H32.0*
视神经结核,A18.503+H48.8*
葡萄膜结核,A18.504+H22.0*
角膜结核,A18.506+H19.2*
巩膜结核,A18.507+H19.0*
耳结核,A18.600
结核性中耳炎,A18.601+H67.0*
肾上腺结核,A18.700+E35.1*
结核性艾迪生病,A18.700x002+E35.1*
器官的结核，其他特指的,A18.800
肺外结核,A18.800x001
唇结核,A18.800x006+K93.8*
肌结核,A18.800x010+M63.0*
食管结核,A18.800x014+K23.0*
上臂内侧横纹肌结核,A18.800x022+M63.0*
牙龈结核,A18.800x025+K93.8*
腰大肌结核性脓肿,A18.800x027+M63.0*
腰肌结核,A18.800x028+M63.0*
结核性口腔溃疡,A18.800x034+K93.8*
垂体结核,A18.801+E35.8*
舌结核,A18.802+K93.8*
咀嚼肌结核,A18.803+M63.0*
腮腺结核,A18.804+K93.8*
颌下腺结核,A18.805+K93.8*
甲状腺结核,A18.806+E35.0*
结核性食管炎,A18.807+K23.0*
结核性心包炎,A18.808+I32.0*
结核性心包积液,A18.809+I32.0*
胸大肌结核,A18.810+M63.0*
乳腺结核,A18.811
胃结核,A18.812+K93.8*
脾结核,A18.813+D77*
肝结核,A18.814+K77.0*
胆管结核,A18.815+K87.0*
胆囊结核,A18.816+K87.0*
胰腺结核,A18.817+K87.1*
结核性腹主动脉炎,A18.818+I79.8*
结缔组织结核,A18.819+M36.8*
心内膜结核,A18.820+I39.8*
心肌结核,A18.821+I41.0*
结核性脑动脉炎,A18.822+I68.1*
单个特指部位的急性粟粒型结核,A19.000
"血行播散性肺结核（初治,单耐药）涂阳培阳",A19.000x001
"血行播散性肺结核（初治,单耐药）涂阴培阳",A19.000x002
"血行播散性肺结核（初治,多耐药）涂阳培阳",A19.000x003
"血行播散性肺结核（初治,多耐药）涂阴培阳",A19.000x004
"血行播散性肺结核（初治,广泛耐药）涂阳培阳",A19.000x005
"血行播散性肺结核（初治,广泛耐药）涂阴培阳",A19.000x006
